,X,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,ArtistFamiliarity,Hotness,end_of_fade_in,key,Loudness,mode,mode_confidence,rank,hit
734,734,0.1,80.606,4,0.127,if,1993,0.446034013,0.330779666,2.078,6,-8.602,0,0.329,19,1
735,735,0.442,81.829,4,0.427,wildflower,1973,0.807238767,0.560139496,0.108,8,-13.921,1,0.672,25,1
736,736,0.657,120.019,4,0.588,roll with it,1988,0.669308692,0.635303505,0.096,5,-8.52,1,0.506,10,1
737,737,0.644,126.976,4,0,if u seek amy,2009,0.947327507,0.60725728,0,9,-4.64,0,0.505,74,0
738,738,0.786,203.383,4,0.595,a boy named sue,1969,0.84233279,0.747251066,2.827,10,-13.711,1,0.62,36,1
739,739,0.518,173.979,4,0.748,lady,1996,0.530647386,0.38192121,0.316,1,-8.134,0,0.624,70,0
740,740,0.582,128.04,4,0.685,hold me,1982,0.578817268,0.389753892,0.061,11,-10.605,0,0.525,31,1
741,741,0.684,124.079,4,0.647,easy,1977,0.541934487,0.341376043,1.071,6,-6.597,1,0.53,33,1
742,742,0.929,76.357,5,0.905,our love,1978,0.540213131,0.34956401,2.13,10,-20.428,1,0.406,43,1
744,744,0.523,87.643,3,1,always on time,2002,0.779833279,0.541519545,0,8,-4.136,1,0.463,12,1
745,745,0.455,132.956,5,0.995,anywhere,1999,0.724864482,0.524449471,0,0,-9.726,0,0.538,47,1
746,746,0.502,90.089,4,0.529,one time,2009,0.462760578,0.285269619,0,9,-6.548,1,0.502,89,0
747,747,0.379,124.986,4,0.529,take me back,1965,0.561983178,0.367429449,0,0,-11.958,1,0.4,91,0
748,748,0.652,119.013,4,0.378,the longest time,1984,0.393580098,0.311922564,0,10,-6.002,1,0.673,89,0
749,749,0.692,125.413,4,0.722,the winner takes it all,1981,0.476537365,0.52185744,0,5,-8.79,1,0.66,23,1
750,750,0.562,166.247,4,0.861,follow me,2001,0.558571168,0.365788235,0.392,2,-6.29,1,0.445,19,1
751,751,0.726,150.056,4,0.543,traces,1969,0.633206407,0.403826639,0,8,-7.476,1,0.585,54,0
752,752,0.57,95.131,4,0.838,goodbye,2009,0.462003406,0.392620853,2.38,4,-11.25,1,0.686,96,0
753,753,0,66.472,3,1,close your eyes,1967,0.59670566,0.416066584,0,3,-9.487,0,0.134,71,0
754,754,0.504,199.47,5,1,out of the blue,1988,0.616593572,0.495831815,0.59,9,-8.522,0,0.436,54,0
755,755,0.678,118.095,4,0,theme from shaft,1971,0.697631341,0.454906291,0.261,9,-14.484,0,0.602,89,0
756,756,0.002,124.74,1,0,think,1968,0.458657801,0.359699355,0.165,6,-4.661,1,0.111,94,0
757,757,0.852,96.902,4,0.79,dancing in the dark,1984,0.561726465,0.390790187,0.444,9,-13.401,1,0.706,14,1
758,758,0.448,155.078,4,1,wonderful,2005,0.487895282,0.478901596,2.299,4,-8.969,0,0.471,94,0
759,759,0.238,113.264,4,1,everything,1990,0.740455342,0.492729093,0.147,5,-7.246,0,0.527,41,1
760,760,0.278,167.987,4,0.611,the look of love,1968,0.415712131,0.239513667,0.334,10,-13.688,0,0.479,36,1
761,761,0.666,124.279,4,0.873,rhythm is a dancer,1993,0.71881021,0.463900095,0.323,9,-8.531,0,0.543,25,1
762,762,0.56,130.122,4,0.831,viva la vida,2009,0.535768113,0.327394174,0.206,0,-8.704,1,0.396,55,0
763,763,0.343,96.484,4,1,mirror mirror,1982,0.677729081,0.494205189,0.101,8,-6.957,0,0.459,86,0
764,764,0.388,170.872,4,0.914,never never gonna give you up,1974,0.724093529,0.541876866,0.956,10,-7.568,0,0.438,55,0
765,765,0.322,99.982,4,0.711,my heart will go on,1998,0.367823866,0.25223164,0.346,4,-17.221,1,0.443,13,1
766,766,0.543,105.224,4,0,when she cries,1993,0.632779016,0.447206657,6.229,9,-10.364,1,0.469,76,0
767,767,0.186,140.036,4,0.816,beautiful girls,2007,0.582365879,0.30285542,0,7,-4.623,0,0.342,31,1
768,768,0,120.001,4,0,bye bye bye,2000,0.576950307,0.409712779,0,4,-26.581,1,0,21,1
769,769,0.315,88.45,4,0.335,release me,1990,0.743188108,0.304188452,0.327,4,-7.166,0,0.355,19,1
770,770,0.536,115.186,4,0.534,now and forever,1994,0.563166273,0.361144366,0.334,4,-6.205,1,0.396,25,1
771,771,0.337,177.497,1,0,jungle fever,1972,0.575674264,0.372040848,0,11,-15.086,1,0.117,51,0
772,772,0.258,177.676,4,0.377,sorry,2008,0.523128685,0.382571087,0,8,-8.783,1,0.563,44,1
773,773,0.662,90.952,4,0.396,far away,2007,0.587477535,0.402654985,2.647,1,-11.953,0,0.673,94,0
774,774,0.683,81.998,4,0.773,weekend in new england,1977,0.676755655,0.536290704,1.593,0,-13.16,1,0.591,65,0
775,775,0.392,90.552,4,0.867,flashing lights,2008,0.877213746,1.005298344,1.001,6,-7.858,0,0.556,90,0
776,776,0.597,101.017,1,0,all i want,1992,0.761362238,0.467110649,2.072,11,-12.15,0,0.601,53,0
777,777,0.53,163.425,4,0.507,freedom,1985,0.812248052,0.549791602,0.096,1,-4.893,1,0.465,76,0
778,778,0.726,123.073,4,0.363,again,2001,0.602568503,0.425344631,0.389,7,-12.518,1,0.515,9,1
779,779,0.172,137.863,4,0.727,solitaire,1983,0.588237862,0.387186147,2.81,8,-12.126,1,0.385,59,0
780,780,0.355,100.571,4,0.531,shine,1994,0.521684914,0.347679508,0,9,-12.906,0,0.119,31,1
781,781,0.854,89.008,3,1,natural high,1973,0.436685357,0.329810329,2.403,4,-7.045,1,0.532,39,1
783,783,0.831,119.899,7,1,after all,1989,0.583679461,0.365729637,2.45,9,-6.489,0,0.688,79,0
784,784,0.135,115.912,4,0.24,gone,2002,0.81444811,0.60797181,2.299,2,-6.385,1,0.326,75,0
785,785,0.003,114.025,4,0.737,what have you done for me lately,1986,0.88169473,0.568201422,0.955,6,-12.812,0,0.172,43,1
786,786,0.688,71.502,4,0.641,because of you,2007,0.761004081,0.549138582,0.096,6,-7.732,1,0.624,57,0
787,787,0.227,57.436,1,0,bulletproof,2010,0.676157256,0.408764436,0.113,5,-7.407,0,0.314,42,1
788,788,0.441,149.392,1,0,rose garden,1971,0.343959015,0,0,0,-16.753,1,0.429,41,1
789,789,0.487,106.597,3,1,all i need,1985,0.415058348,0.33317117,0.345,1,-11.537,0,0.52,42,1
790,790,0.157,126.994,4,0.651,9 to 5,1981,0.796998014,0.494678061,0.142,5,-5.552,0,0.221,9,1
791,791,0.613,127.001,5,0.996,shine,1994,0.646932049,0.367479148,0,11,-6.347,0,0.391,31,1
792,792,0.362,191.992,4,0,take me back,1965,0.740348098,0.497244169,0.302,7,-9.828,1,0.451,91,0
793,793,0.492,119.853,4,0.755,alone,1987,0.746619437,0.535121107,0.106,0,-6.646,0,0.821,2,1
794,794,0,101.971,4,0.549,islands in the stream,1984,0.655655426,0.372674346,0.142,1,-5.903,1,0,56,0
795,795,0.689,134.281,7,0.578,angel,2003,0.752820798,0.487912873,0.409,5,-14.787,1,0.563,69,0
796,796,0.657,182.648,4,0.839,here we go,1991,0.790405559,0.561934247,0,0,-3.622,1,0.671,35,1
797,797,0,124.016,4,1,take me home,1986,0.562429664,0.336461662,0,0,-8.335,0,0,88,0
798,798,0.631,32.625,1,0,steal away,1980,0.443500255,0.244025299,0.421,6,-12.247,1,0.767,26,1
799,799,0.751,62.647,1,0.906,white flag,2004,0.787079686,0.55847555,4.545,0,-5.892,1,0.589,36,1
800,800,0.732,181.923,4,0.217,southside,2004,0.556524165,0.419237446,0,6,-5.891,1,0.525,84,0
802,802,0.151,108.013,4,0.951,hold on,1995,0.301742155,0,1.038,6,-8.911,0,0.4,52,0
803,803,0.025,88.474,4,0.581,miss you like crazy,1989,0.870255755,0.438382452,2.055,2,-3.921,1,0.467,67,0
804,804,0,39.887,4,0,misty,1975,0.511886713,0.358038919,0.27,2,-15.294,1,0,92,0
805,805,0.482,166.511,5,1,stand up,2004,0.537641253,0.38629788,3.593,0,-6.499,1,0.505,45,1
806,806,0.864,101.567,4,0.092,look into my eyes,1997,0.504023242,0.40137702,0.334,0,-7.339,1,0.741,47,1
807,807,0.257,130.005,1,0,fantasy,1996,0.644238765,0.430493599,0.258,0,-9.194,1,0.314,49,1
808,808,0,127.993,4,0,children,1996,0.611672592,0.448867693,0,1,-10.657,1,0,65,0
809,809,0.403,140.02,4,0,something,1969,0.560363288,0.405224401,0,1,-5.506,1,0.384,83,0
810,810,0.038,81.984,4,0.567,heart of gold,1972,0.572475915,0.35130231,0.467,4,-8.044,0,0.27,17,1
811,811,0.827,126.994,4,0,sunshine of your love,1968,0.827074438,0.492236495,0.253,0,-8.504,1,0.684,6,1
812,812,0.265,137.595,7,0.568,what is love,1994,0.640807102,0.418216518,0.247,0,-9.095,1,0.417,97,0
813,813,0.926,183.852,4,0.475,summertime,1991,0.67365652,0.386327281,0,5,-4.717,1,0.701,38,1
814,814,0.672,179.318,4,0,burning heart,1986,0.601987949,0.372543893,0,9,-8.206,1,0.589,8,1
815,815,0.776,123.935,3,0.983,kiss from a rose,1995,0.511024641,0.388625335,0.202,9,-8.917,1,0.425,4,1
817,817,0.437,175.464,4,0.863,shake ya tailfeather,2003,0.605703302,0.42959192,0.189,6,-7.153,1,0.567,13,1
818,818,0.44,84.92,4,0.859,rise,1980,0.474123681,0.31910542,0.192,7,-11.594,1,0.529,54,0
819,819,0.084,136.442,1,0,you are the sunshine of my life,1973,0.447640961,0.32341781,2.397,9,-13.309,1,0.327,19,1
820,820,0.789,149.047,3,0.751,do you remember,2010,0.666633098,0.437017425,0.172,7,-17.66,1,0.715,53,0
821,821,0.21,164.644,4,0.454,music,2001,0.654087997,0.454186552,0.258,7,-11.991,1,0.105,83,0
822,822,0.317,106.352,4,0.021,head over heels,1985,0.691125977,0.557643463,2.827,4,-6.244,1,0.408,60,0
823,823,0,89.077,4,0.736,walk away,2006,0.576313182,0.396031564,0,8,-5.819,1,0,45,1
824,824,0.583,123.943,4,1,you,2007,0.546650792,0.42394968,2.287,2,-4.299,1,0.58,40,1
825,825,0.359,56.992,4,0.591,revolution,1968,0.463407418,0.316012885,0.514,11,-9.72,0,0.45,78,0
826,826,0.556,111.648,4,1,slip away,1968,0.44276965,0.294986617,4.818,9,-12.518,1,0.607,44,1
827,827,0.986,113.979,4,0.714,baby,2010,0.464587364,0.318102447,0.316,0,-6.747,1,0.796,44,1
828,828,0.725,136.488,4,0.752,finally,1992,0.551477434,0.38072824,0.225,1,-8.606,1,0.673,20,1
829,829,0.757,130.04,4,0.461,venus,1986,0.690663467,0.43555316,7.784,0,-5.565,1,0.662,38,1
830,830,0.472,135.84,4,0,children,1996,0.345380437,0.246371257,0,5,-6.818,0,0.553,65,0
831,831,0.332,140.252,1,0.004,beauty and the beast,1992,0.668900284,0.471694257,2.055,7,-13.204,0,0.29,64,0
832,832,0.878,167.686,4,0.533,revolution,1968,0.63068809,0.425738908,2.281,9,-6.377,0,0.735,78,0
833,833,0.408,110.548,4,1,numb,2004,0.643896968,0.473941775,3.495,6,-12.767,0,0.471,33,1
834,834,0.233,113.947,1,0,i run to you,2009,0.773490591,0.756327372,0.154,5,-6.387,0,0.439,90,0
835,835,0.202,83.521,4,0.965,rosanna,1982,0.786293941,0.530049913,0.154,0,-9.188,1,0.282,14,1
836,836,0.9,86.4,4,0.122,back for good,1996,0.693258488,0.484124713,0,5,-8.219,1,0.618,95,0
837,837,0.94,108.097,3,0.478,falling,1978,0.363062876,0,0,9,-5.538,1,0.666,79,0
838,838,0.65,103.071,4,0.988,life is a highway,2006,0.864657194,0.776528435,0.241,0,-9.433,1,0.789,76,0
839,839,0.659,85.095,3,0.671,secrets,2010,0.70492351,0.487506612,0.073,7,-3.923,1,0.7,76,0
840,840,0.59,95.994,4,0.782,shine,1994,0.98993857,0.843430844,0.291,4,-8.747,0,0.475,31,1
841,841,0,163.945,4,0,america,1981,0.423580424,0.345466028,0.607,4,-9.698,0,0.12,62,0
842,842,0.915,98.087,4,0.393,heartbreak hotel,1999,0.370703604,0.289645918,0.311,5,-15.074,1,0.359,4,1
843,843,0.071,150.057,3,1,on fire,2004,0.535337577,0.343328633,0,4,-5.351,0,0.539,55,0
844,844,0.59,98.023,4,1,love to love you baby,1976,0.618847308,0.434892458,3.111,1,-5.835,1,0.29,41,1
845,845,0.416,58.218,1,0,here we go,1991,0.624295184,0.551149343,0.627,0,-14.872,0,0.488,35,1
848,848,0.645,196.775,4,0.316,mad about you,1986,0.741005273,0.570107083,0,4,-5.591,1,0.435,36,1
849,849,0.307,96.66,4,0.232,november rain,1992,0.47716326,0.225030131,0.136,7,-9.007,1,0.496,17,1
850,850,0.278,111.519,4,1,gangsta lean,1994,0.682941018,0.55922699,0.131,1,-5.411,1,0.318,39,1
851,851,0.299,116.863,4,0.732,reflections,1967,0.532190714,0.355442521,2.159,4,-11.944,1,0.384,41,1
853,853,0.645,106.684,1,0.686,wild night,1994,0.424277237,0.243309663,11.842,11,-9.495,0,0.611,15,1
854,854,0.399,138.005,5,0.845,shake your love,1988,0.550463654,0.376581991,0.374,7,-7.625,1,0.439,22,1
856,856,0.683,71.843,4,0,all right,1983,0.590473194,0.418989675,0,4,-12.637,1,0.673,70,0
857,857,0.141,120.115,4,1,over,2010,0.824315804,0.536429436,0,5,-5.304,0,0.509,60,0
858,858,0.673,94.037,4,0.051,anything,2002,0.586508869,0.387664119,0.148,3,-6.78,0,0.486,88,0
859,859,0.792,162.694,4,0,i know,1995,0.56156911,0.346539353,0,0,-5.407,1,0.69,11,1
860,860,0.498,163.968,4,0.67,air force ones,2003,0.806364125,0.512455643,2.27,7,-4.321,0,0.28,40,1
861,861,0,84.018,7,0.677,again,2001,0.777456037,0.342108283,0.161,10,-7.145,0,0.105,9,1
862,862,0.619,150.954,4,0,hair,1969,0.601022699,0.38665625,0,1,-4.735,1,0.647,13,1
863,863,0.341,98.978,4,0.434,drift away,2003,0.584106154,0.397388488,0.259,11,-14.442,1,0.452,19,1
864,864,0.729,207.579,4,0.205,secrets,2010,0.51012943,0.3876281,0,2,-12.528,1,0.632,76,0
865,865,0.093,152.017,4,0.713,guilty,1981,0.584572709,0.376835701,0.241,9,-9.295,1,0.251,29,1
866,866,0.482,169.406,4,0.414,like glue,2003,0.482555582,0.366880145,0.206,9,-11.689,0,0.626,66,0
867,867,0.388,88.993,4,0.511,those were the days,1968,0.796998014,0.494678061,0.125,2,-10.114,0,0.489,30,1
869,869,0.031,127.04,4,1,soul finger,1967,0.679793556,0.489458258,0.334,11,-8.444,1,0.371,67,0
870,870,0.364,125.027,4,1,standing still,2002,0.524106552,0.305409322,0.277,9,-12.489,1,0.529,87,0
871,871,0.969,203.868,4,0.405,good thing,1989,0.516382218,0.348511889,0.203,2,-10.204,1,0.795,40,1
872,872,0.469,166.313,4,1,just kickin it,1994,0.114888666,0.159824091,0.165,1,-12.732,1,0.414,69,0
873,873,0.498,156.435,4,0.076,angie,1973,0.563342951,0.378504194,0.38,6,-8.731,0,0.597,85,0
875,875,0.291,133.686,1,0,music,2001,0.30794885,0,0.088,9,-8.793,0,0.349,83,0
877,877,0.383,64.482,4,0.648,escape,2002,0.479755041,0.34054408,0.165,6,-11.473,1,0.4,57,0
878,878,0.397,121.323,4,0.61,you give love a bad name,1986,0.839297678,0.718891456,0,2,-4.774,1,0.561,30,1
879,879,0.161,95.132,3,0.843,time,1996,0.482087511,0.361133158,0,6,-14.6,1,0.457,50,0
880,880,0.799,85.086,3,0.771,walk away,2006,0.686812987,0.604240173,0,5,-11.495,1,0.617,45,1
882,882,0.537,95.973,4,0.849,informer,1993,0.667934208,0.399081248,0.322,7,-3.775,1,0.539,10,1
883,883,0.01,105.218,1,0,revolution,1968,0.729827403,0.427514246,0.289,2,-4.005,1,0.158,78,0
884,884,0.517,148.384,1,0,make it with you,1970,0.606975737,0.386289651,0.276,0,-12.915,1,0.469,13,1
885,885,0.373,83.461,1,0,unchained melody,1965,0.48051391,0.302978243,0.253,7,-21.396,1,0.652,21,1
886,886,0.485,88.933,4,0.725,rain,1993,0.57871873,0.344308508,0,4,-9.297,0,0.489,67,0
887,887,0.422,149.016,3,1,butterfly,2001,0.392946396,0.236729855,0.194,6,-10.145,1,0.538,29,1
888,888,0.392,128.08,4,0.143,shake it up,1982,0.571414866,0.385669726,0,0,-11.822,1,0.426,23,1
889,889,0.583,98.348,3,0.627,foolish,2002,0.785640001,0.466120648,0.218,10,-9.088,1,0.654,2,1
891,891,0,120.251,4,0.728,show me love,1998,0.618455667,0.311935985,0,5,-5.712,1,0.213,29,1
893,893,0,106.962,4,0.752,one more try,1991,0.686792841,0.42877859,0.136,7,-4.073,1,0,5,1
894,894,0.576,140.026,7,0.564,heaven,2004,0.6214835,0.418618869,0.369,0,-8.458,1,0.622,37,1
895,895,0.56,91.309,5,1,automatic,1984,0.50664978,0.334288465,0.101,11,-11.241,0,0.473,48,1
896,896,0.182,85.994,3,0.582,holiday,2005,0.698994888,0.568768184,0.061,1,-3.878,1,0.44,39,1
897,897,0.436,121.465,4,1,borderline,1984,0.702605928,0,0.216,9,-5.879,0,0.342,35,1
898,898,0.379,97.486,4,0,talk to me,1986,0.727895943,0.53545097,1.402,2,-6.445,1,0.485,57,0
899,899,0.03,135.998,4,0,close your eyes,1967,0.488234794,0.421749894,0.255,9,-8.374,0,0.238,71,0
901,901,0,132.007,4,0,all i wanna do,1995,0.473128029,0.351754671,0.398,5,-6.618,0,0,67,0
903,903,0.01,124.991,4,1,get up,2006,0.421327144,0.318399647,0,0,-14.026,1,0.262,80,0
904,904,0.912,109.955,4,1,sweet mary,1971,0.672486987,0.515364893,0.392,5,-9.554,1,0.678,96,0
905,905,0.366,89.224,4,1,show me the way,1991,0.566024302,0.384601686,0.253,6,-8.097,0,0.406,68,0
906,906,0.508,96.956,4,1,slow down,2005,0.648651225,0.48405205,0,11,-4.209,0,0.398,47,1
907,907,0.207,125.049,4,0,angel,2003,0.272585604,0.231969281,0.131,0,-10.22,1,0.154,69,0
908,908,0.828,120.025,4,0.048,alfie,1967,0.916058238,0.535408379,0.357,7,-5.237,1,0.782,44,1
909,909,0.747,132.855,4,0.289,jungle fever,1972,0.46804737,0,4.946,7,-12.579,1,0.469,51,0
911,911,0.326,130.404,4,0.868,goodbye,2009,0.547303052,0.35349584,0.201,11,-15.556,0,0.6,96,0
912,912,0.575,124.033,4,0,stand back,1983,0.578059951,0.333714648,1.007,11,-7.348,0,0.478,44,1
913,913,0.337,131.829,4,0.669,alone,1987,0.612482496,0.431418231,0,9,-6.637,0,0.621,2,1
915,915,0,84.017,5,0.962,ghostbusters,1984,0.46873764,0.327356561,0.061,6,-2.233,0,0.167,9,1
916,916,0.362,142.441,4,0.162,twist of fate,1984,0.54421222,0.409760876,2.339,5,-6.078,1,0.306,42,1
917,917,0.75,109.567,3,0.375,look away,1989,0.41178907,0.270249278,0.398,4,-10.643,1,0.537,1,1
918,918,0.752,90.013,5,0.758,time after time,1998,0.620305452,0.463497773,3.884,11,-12.311,1,0.721,64,0
919,919,0.516,101.082,4,0,talk to me,1986,0.362425093,0.251577033,0.241,2,-11.308,1,0.645,57,0
920,920,0.454,101.769,4,1,if,1993,0.668786232,0.553991397,0.159,4,-12.02,1,0.43,19,1
921,921,0.413,120.988,4,1,last night,2007,0.865968704,0.550033801,0,11,-4.922,1,0.485,42,1
922,922,0.709,150.237,4,0.618,make it happen,1992,0.495362902,0.346728384,0.346,7,-5.724,0,0.754,42,1
923,923,0.023,91.996,4,0.954,lose control,2005,0.501391714,0.459495732,0,5,-3.92,1,0.437,14,1
924,924,0.709,122.837,3,1,all i want,1992,0.562048012,0.387551447,0,7,-5.511,1,0.588,53,0
925,925,0.655,95.304,1,0.083,time,1996,0.556634339,0.361206761,0.531,7,-14.053,1,0.664,50,0
926,926,0.126,138.572,1,0,masterpiece,1992,0.77795693,0.524073028,0,3,-5.368,1,0.358,27,1
927,927,0.597,89.869,4,0.553,nowhere to run,1965,0.597061626,0.360724771,0.102,7,-4.614,1,0.529,68,0
928,928,0.656,115.076,4,0.759,everyday,1994,0.583028427,0.433158198,0.508,0,-6.778,1,0.869,86,0
930,930,0.557,168.187,3,0.713,rumors,1986,0.545184061,0.408246219,0.241,10,-7.435,0,0.508,77,0
931,931,0.162,114.028,4,0.934,disappear,1991,0.619989531,0.486978138,0.375,6,-5.543,1,0.314,90,0
932,932,0.589,129.962,4,0.51,rain,1993,0.597669136,0.418799401,0.345,2,-5.791,0,0.601,67,0
933,933,0.671,124.004,4,1,sunny,1966,0.602192973,0.376643041,0.12,6,-7.884,1,0.322,27,1
934,934,0.48,231.408,1,0,stand by me,1987,0.470285107,0.384144931,0.241,7,-14.3,1,0.527,67,0
935,935,0.395,115.975,5,1,babe,1980,0.629539442,0.432441573,0,8,-5.928,0,0.384,20,1
936,936,0.051,132.474,1,0.142,naturally,2010,0.635421665,0.722649753,0.421,10,-4.666,0,0.297,77,0
937,937,0.799,122.907,4,1,again,2001,0.796337059,0.582921576,3.628,7,-4.56,1,0.709,9,1
938,938,0.663,95.349,3,0.591,amazing grace,1971,0.507862067,0.338846449,0,4,-15.875,1,0.688,80,0
939,939,0.717,120.029,4,1,o,2005,0.825027995,0.600131865,0.189,0,-6.337,1,0.649,91,0
940,940,0.774,89.964,4,1,i need you,2000,0.74164667,0.461090223,5.637,0,-4.65,1,0.766,44,1
941,941,0.308,84.018,3,0.792,if you love me,1995,0.683397133,0.523680257,0.102,11,-3.993,0,0.451,34,1
942,942,0.117,116.007,4,0.384,love rollercoaster,1976,0.73753657,0.44483437,0,3,-6.656,1,0.18,30,1
943,943,0.655,128.007,4,0.53,all i need,1985,0.68108442,0.453371188,0.16,9,-10.141,1,0.591,42,1
944,944,0.733,128.453,4,0.287,somewhere out there,1987,0.565750644,0.419024182,0.288,0,-11.092,1,0.67,39,1
945,945,0.717,104.593,1,0,ruby tuesday,1967,0.875047713,0.733839466,0.207,0,-10.84,1,0.496,24,1
946,946,0.598,107.262,3,1,so what,2009,0.357765543,0.22383293,0.212,1,-11.128,1,0.702,45,1
947,947,0.972,163.119,4,0,rocky mountain high,1973,0.754357091,0.520456969,0.316,4,-14.005,1,0.782,29,1
948,948,0.512,97.007,4,0.406,someday,2004,0.414259251,0.328231038,0.276,11,-5.031,1,0.571,17,1
949,949,0.724,131.871,1,0.405,sweet caroline,1969,0.403218289,0.398406194,0.485,2,-15.363,1,0.662,22,1
950,950,0.81,131.533,4,0.673,indian lake,1968,0.581905894,0.357283928,0,7,-11.557,1,0.645,71,0
951,951,0.372,99.999,4,0.412,alright,1993,0.597945479,0.344394762,0.187,4,-11.896,1,0.379,85,0
952,952,0,92.995,3,1,say it,1998,0.440018076,0.375761577,0.688,6,-8.055,1,0.248,45,1
953,953,0.025,123.952,4,0,freedom,1985,0.718233135,0.451534113,0.46,10,-8.368,0,0.314,76,0
954,954,0.621,190.913,4,0,psychotic reaction,1966,0.385108963,0.37444998,0.104,9,-7.056,0,0.525,64,0
955,955,0.54,97.465,3,0.684,i believe,1995,0.707335681,0.599398431,0.396,10,-12.881,1,0.362,27,1
956,956,0.346,159.895,4,0.343,dreams,1994,0.546206711,0.354517343,0.171,4,-5.176,0,0.337,75,0
957,957,0.028,143.184,4,0,i want you,2003,0.513467522,0.383677982,0,0,-7.255,0,0.436,95,0
958,958,0.975,94.512,4,0.911,give it up,1984,0.562018928,0.250279212,0,0,-3.499,1,0.673,75,0
959,959,0.701,142.972,5,1,i want you back,1998,0.537870604,0.397492195,0.38,7,-10.119,0,0.688,37,1
961,961,0.514,118.123,7,0.553,because of you,2007,0.495518893,0.33286717,0.63,3,-15.088,1,0.474,57,0
962,962,0.245,85.321,4,0,i want you,2003,0.477150336,0.459915464,0,9,-6.297,1,0.31,95,0
963,963,0.108,99.595,4,0.706,slide,1999,0.39192455,0,0.891,8,-8.343,1,0.164,13,1
964,964,0.908,120.024,4,0.772,make it happen,1992,0.456588645,0.370112697,0,11,-6.232,0,0.724,42,1
965,965,0.486,108.645,1,0,you,2007,0.479777981,0.312249273,0,7,-8.384,1,0.59,40,1
966,966,0.231,122.144,5,0.492,close your eyes,1967,0.458222442,0.362639791,0.346,10,-15.29,0,0.533,71,0
967,967,0.427,100.031,4,0,on my own,1986,0.57396516,0.422286617,0.317,8,-4.95,1,0.311,4,1
968,968,0.689,152.026,4,0.14,always,1995,0.531311984,0.438470765,2.966,7,-22.003,1,0.608,17,1
969,969,0.151,151.717,4,0.515,hey jealousy,1993,0.71291036,0.557017743,0,9,-6.812,1,0.232,95,0
970,970,0.467,106.034,4,0.599,only you,1996,0.712981899,0.514453744,0.306,2,-12.102,1,0.638,34,1
971,971,0.53,159.644,4,0.69,alright,1993,0.80341915,0.570355262,0,1,-8.068,0,0.405,85,0
972,972,0.789,115.452,4,0.641,baby baby,1991,0.690080124,0.466775622,4.963,9,-10.335,1,0.627,10,1
973,973,0.521,92.942,4,0.69,all i need,1985,0.500039466,0.419289494,0.52,10,-13.828,1,0.501,42,1
974,974,0.326,117.938,4,0,the other woman,1982,0.590473194,0.418989675,0.235,2,-12.787,1,0.475,26,1
975,975,0.625,127.922,4,0.485,say it,1998,0.686576736,0.453552539,0.164,1,-3.791,0,0.608,45,1
976,976,0.029,136.962,4,0,butterfly,2001,0.42004794,0.382432343,0.984,9,-5.187,0,0.274,29,1
977,977,0.538,140.011,4,0,freedom,1985,0.559678056,0.393653518,0.409,0,-5.049,1,0.529,76,0
978,978,0,121.262,4,0.21,i shot the sheriff,1997,0.475730978,0.365841574,0,2,-7.143,1,0.177,85,0
979,979,0.689,121.216,1,0,come with me,1998,0.536461218,0.357338002,0.403,0,-4.712,1,0.689,47,1
980,980,0,93,4,0.697,closer,2008,0.630546954,0.500899527,2.426,0,-7.395,1,0.019,20,1
981,981,0.031,78.997,4,0.706,i know,1995,0.596963237,0.406439822,0,10,-6.452,1,0.149,11,1
982,982,0,129.999,4,0.905,rain,1993,0.283450179,0.273315661,0,11,-9.2,0,0,67,0
983,983,0.759,80.993,4,0.948,family man,1983,0.590282944,0.478485658,0,4,-14.343,1,0.768,67,0
984,984,0.771,119.922,3,0.552,baker street,1978,0.047910448,0,0.357,7,-9.781,1,0.756,26,1
985,985,0.066,85.341,5,0.372,you and me,2006,0.593889546,0.434590312,0,6,-5.204,1,0.41,83,0
986,986,0.983,90.043,4,0.737,shake,1965,0.448742242,0.230628285,0,0,-5.758,1,0.621,66,0
987,987,0.512,101.78,3,1,carnival,1995,0.462673438,0,0,10,-6.691,0,0.721,60,0
988,988,0,135.062,4,0.403,be my lover,1996,0.616342899,0.402798053,0,6,-5.523,0,0,23,1
989,989,0.045,73.577,3,0.733,always,1995,0.390970761,0.298176817,0.229,2,-6.68,1,0.348,17,1
990,990,0.406,89.976,4,0.351,soldier of love,1989,0.77149215,0.517342286,7.866,0,-8.642,0,0.514,57,0
992,992,0.367,100.074,4,0.879,hard,2010,0.515620852,0,2.456,9,-4.935,1,0.346,49,1
993,993,0.433,145.014,4,0.236,my life would suck without you,2009,0.555517649,0.376474552,0,9,-4.206,1,0.362,23,1
994,994,0.666,107.506,4,0.648,together forever,1988,0.657823757,0.420958745,0.235,11,-17.005,1,0.711,44,1
995,995,0.764,149.381,4,0.126,too much,1998,0.467910329,0.337653038,0.334,2,-10.236,1,0.656,69,0
997,997,0,89.618,4,0.796,live your life,2009,0.553637781,0.329943887,0,4,-5.611,1,0.235,18,1
998,998,0.188,115.452,4,0.232,crazy,2006,0.73537015,0.61999595,1.002,3,-11.799,1,0.39,7,1
999,999,0.763,126.944,4,0.757,where is the love,2003,0.395927021,0.33131374,0.903,11,-5.995,0,0.545,26,1
